path	module	permission	guards	schema	file	line
/api/addDepartment	hr	departments.add	requirePermission	AddDepartmentSchema	netlify/functions/routes/departments.ts	51
/api/addEmployee	hr	employees.add	requirePermission	AddEmployeeSchema	netlify/functions/routes/employees.ts	63
/api/addProjectSite	platform	sites.add	requirePermission	AddSiteSchema	netlify/functions/routes/sites.ts	81
/api/admin/approvals/approve	security			ApproveSchema	netlify/functions/routes/permissionApprovals.ts	299
/api/admin/approvals/cancel	security	permissions.manage	requirePermission	CancelSchema	netlify/functions/routes/permissionApprovals.ts	454
/api/admin/approvals/counts	security				netlify/functions/routes/permissionApprovals.ts	213
/api/admin/approvals/list	security			ListSchema	netlify/functions/routes/permissionApprovals.ts	136
/api/admin/approvals/markSeen	security			MarkSeenSchema	netlify/functions/routes/permissionApprovals.ts	260
/api/admin/approvals/reject	security			RejectSchema	netlify/functions/routes/permissionApprovals.ts	417
/api/admin/security/policy/update	security	auth.security.manage_policy	requirePermission	PolicyUpdateSchema	netlify/functions/routes/adminSecurity.ts	225
/api/admin/security/users/passkeys/revoke-all	security	auth.passkeys.admin_revoke	requirePermission	UserIdSchema	netlify/functions/routes/adminSecurity.ts	92
/api/admin/security/users/status	security	auth.security.view	requirePermission	UserIdSchema	netlify/functions/routes/adminSecurity.ts	42
/api/admin/security/users/trusted-devices/revoke-all	security	auth.trusted_devices.admin_revoke	requirePermission	UserIdSchema	netlify/functions/routes/adminSecurity.ts	151
/api/assignSiteEmployees	hr	sites.assign_employees	assertInScope,requirePermission	AssignSiteEmployeesSchema	netlify/functions/routes/sites.ts	135
/api/auth/2fa/backup-codes/regenerate	security		requireUser	RegenSchema	netlify/functions/routes/auth2fa.ts	227
/api/auth/2fa/confirm	security		requireUser	ConfirmSchema	netlify/functions/routes/auth2fa.ts	111
/api/auth/2fa/disable	security		requireUser	DisableSchema	netlify/functions/routes/auth2fa.ts	164
/api/auth/2fa/setup	security		requireUser		netlify/functions/routes/auth2fa.ts	80
/api/auth/2fa/status	security		requireUser		netlify/functions/routes/auth2fa.ts	59
/api/auth/password/change	security		requireUser	ChangePasswordSchema	netlify/functions/routes/auth.ts	726
/api/auth/security/policy	security		requireUser		netlify/functions/routes/adminSecurity.ts	201
/api/auth/step-up/options	security		requireUser		netlify/functions/routes/authStepUp.ts	45
/api/auth/step-up/verify	security		requireUser	VerifySchema	netlify/functions/routes/authStepUp.ts	85
/api/auth/trusted-devices/list	security		requireUser		netlify/functions/routes/trustedDevices.ts	37
/api/auth/trusted-devices/revoke	security		requireUser		netlify/functions/routes/trustedDevices.ts	81
/api/auth/trusted-devices/revoke-all	security				netlify/functions/routes/trustedDevices.ts	120
/api/calendar/activity/create	platform	calendar.activity.manage_own	requirePermission	CreateActivitySchema	netlify/functions/routes/calendar.ts	606
/api/calendar/activity/respond	platform	calendar.view	requirePermission	AttendeeResponseSchema	netlify/functions/routes/calendar.ts	425
/api/calendar/cancel	platform	calendar.view	requirePermission	CancelSchema	netlify/functions/routes/calendar.ts	943
/api/calendar/get	platform	calendar.view	requirePermission	GetSchema	netlify/functions/routes/calendar.ts	325
/api/calendar/list	platform	calendar.view	requirePermission	ListSchema	netlify/functions/routes/calendar.ts	167
/api/calendar/reminders/get	platform	calendar.view	requirePermission	ReminderGetSchema	netlify/functions/routes/calendar.ts	379
/api/calendar/reminders/run-sweep	platform			z.object({ now: z.string().optional() })	netlify/functions/routes/calendar.ts	467
/api/calendar/reminders/set	platform	calendar.view	requirePermission	ReminderSetSchema	netlify/functions/routes/calendar.ts	399
/api/calendar/task/create	platform	calendar.task.manage_own	requirePermission,userCan	CreateTaskSchema	netlify/functions/routes/calendar.ts	523
/api/calendar/task/status	platform	calendar.view	requirePermission,userCan	StatusSchema	netlify/functions/routes/calendar.ts	894
/api/calendar/update	platform	calendar.view	requirePermission,userCan	UpdateSchema	netlify/functions/routes/calendar.ts	784
